| name                            | title                               | level | facing   | categories   | description                                                   | detail                                                                                                                                   | remediation                                                                                              | metadata                                                                         | cache_key                                                                                              |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.get_post_insights\` has a role mutable search_path                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_post_insights","type":"function","schema":"public"}                 | function_search_path_mutable_public_get_post_insights_4e2b3d8f2124cc0c52286317f5769412                 |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.is_post_saved\` has a role mutable search_path                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"is_post_saved","type":"function","schema":"public"}                     | function_search_path_mutable_public_is_post_saved_2aa0e6c967329a0bc6845ce6671e14fe                     |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.update_story_views_count\` has a role mutable search_path                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"update_story_views_count","type":"function","schema":"public"}          | function_search_path_mutable_public_update_story_views_count_2be756695045ceb3dde050964f3c2d63          |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.auto_approve_follow_request\` has a role mutable search_path                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"auto_approve_follow_request","type":"function","schema":"public"}       | function_search_path_mutable_public_auto_approve_follow_request_563f67fe8249bf3eb022fff6b4024f56       |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.approve_follow_request\` has a role mutable search_path                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"approve_follow_request","type":"function","schema":"public"}            | function_search_path_mutable_public_approve_follow_request_7ed65c72360e9c03439446a778f98bf1            |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.get_pending_follow_requests_count\` has a role mutable search_path                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_pending_follow_requests_count","type":"function","schema":"public"} | function_search_path_mutable_public_get_pending_follow_requests_count_5cead7927c11e792e2885b003a608c08 |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.has_pending_follow_request\` has a role mutable search_path                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"has_pending_follow_request","type":"function","schema":"public"}        | function_search_path_mutable_public_has_pending_follow_request_589e61430debf67ea352fe325b8c926d        |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.handle_new_user\` has a role mutable search_path                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"handle_new_user","type":"function","schema":"public"}                   | function_search_path_mutable_public_handle_new_user_ad53d512b7afaf026491a2044bd7a6ba                   |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.cleanup_expired_stories\` has a role mutable search_path                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"cleanup_expired_stories","type":"function","schema":"public"}           | function_search_path_mutable_public_cleanup_expired_stories_24e3f048d669ce47f245fe217be81de3           |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set. | Function \`public.update_post_likes_count\` has a role mutable search_path                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"update_post_likes_count","type":"function","schema":"public"}           | function_search_path_mutable_public_update_post_likes_count_cbe68361c766ae9335f0afa4af5263a8           |
